wall_time,step,value
1768562745.5056162,1,10.843790054321289
1768562745.6406693,2,10.058917999267578
1768562745.7722538,3,8.796713829040527
1768562745.9042761,4,8.718935012817383
1768562746.0368567,5,9.332273483276367
1768562746.1678503,6,9.338703155517578
1768562746.2992992,7,9.373912811279297
1768562746.4305527,8,8.723791122436523
1768562746.5614843,9,8.70781135559082
1768562746.6926053,10,8.287102699279785
1768562748.4656222,11,8.249303817749023
1768562748.596101,12,8.597541809082031
1768562748.7267826,13,8.439130783081055
1768562748.8571494,14,8.158992767333984
1768562748.9873104,15,8.741957664489746
1768562749.1176922,16,8.143783569335938
1768562749.2488534,17,8.922571182250977
1768562749.3791208,18,8.3937349319458
1768562749.510143,19,8.24490737915039
1768562749.6403892,20,8.34543514251709
1768562751.3826768,21,8.190261840820312
1768562751.5127456,22,8.474512100219727
1768562751.6432498,23,8.011106491088867
1768562751.7735379,24,8.451106071472168
1768562751.903601,25,8.288304328918457
1768562752.033785,26,8.479558944702148
1768562752.1674523,27,8.270133972167969
1768562752.297584,28,8.32756233215332
1768562752.4280667,29,8.135704040527344
1768562752.559291,30,8.259398460388184
1768562754.300636,31,8.117131233215332
1768562754.43095,32,8.22761058807373
1768562754.5609677,33,8.048992156982422
1768562754.692273,34,7.920125961303711
1768562754.8224714,35,7.947953224182129
1768562754.952785,36,8.357168197631836
1768562755.0849342,37,8.013957977294922
1768562755.215167,38,8.28669548034668
1768562755.3458896,39,8.142284393310547
1768562755.4759288,40,7.98173713684082
1768562757.2136233,41,8.009133338928223
1768562757.3436701,42,8.070647239685059
1768562757.4755895,43,7.941259384155273
1768562757.6077514,44,7.978971481323242
1768562757.7381423,45,7.960686206817627
1768562757.868228,46,7.830699920654297
1768562757.9989908,47,7.8505024909973145
1768562758.1288106,48,7.896973609924316
1768562758.2621512,49,7.9229841232299805
1768562758.392184,50,7.890872955322266
1768562760.1455147,51,7.869322299957275
1768562760.2753136,52,7.939074516296387
1768562760.4053478,53,7.988442420959473
1768562760.5349479,54,8.02747917175293
1768562760.6651268,55,8.002570152282715
1768562760.794867,56,7.8545026779174805
1768562760.9262228,57,8.016059875488281
1768562761.0580347,58,7.979738235473633
1768562761.18841,59,7.952946662902832
1768562761.3207211,60,7.755544185638428
1768562763.0479562,61,7.937287330627441
1768562763.177841,62,7.904960632324219
1768562763.307698,63,8.001208305358887
1768562763.4392085,64,7.912131309509277
1768562763.5692852,65,7.6791815757751465
1768562763.6995957,66,7.7259345054626465
1768562763.829215,67,7.7845072746276855
1768562763.9587955,68,7.929686069488525
1768562764.0898569,69,7.7517476081848145
1768562764.2198708,70,7.96614933013916
1768562765.9537652,71,7.805966377258301
1768562766.0833373,72,7.803251266479492
1768562766.2134106,73,8.097827911376953
1768562766.34308,74,7.886556625366211
1768562766.473456,75,7.677536964416504
1768562766.603112,76,7.7568230628967285
1768562766.7326577,77,7.731790065765381
1768562766.8626533,78,7.685909271240234
1768562766.9925525,79,8.167389869689941
1768562767.122408,80,7.730230331420898
1768562768.8611476,81,7.706059455871582
1768562768.9907765,82,7.733392715454102
1768562769.1207836,83,7.661857604980469
1768562769.2506642,84,7.664032936096191
1768562769.3823276,85,7.598602294921875
1768562769.5136383,86,7.640532493591309
1768562769.6431544,87,7.571234703063965
1768562769.7727437,88,7.769792556762695
1768562769.9028087,89,7.922601699829102
1768562770.0328417,90,7.441016674041748
1768562771.7616682,91,7.737481117248535
1768562771.8912795,92,8.010967254638672
1768562772.022794,93,7.499833106994629
1768562772.155081,94,7.783190727233887
1768562772.285391,95,7.751310348510742
1768562772.4154458,96,7.641131401062012
1768562772.5450046,97,7.758714199066162
1768562772.6747506,98,7.468040466308594
1768562772.8044043,99,7.633013725280762
1768562772.9341319,100,7.385376930236816
1768562775.0592353,101,7.755805015563965
1768562775.1893137,102,7.641085147857666
1768562775.3205764,103,7.573452472686768
1768562775.4504218,104,7.70076322555542
1768562775.5803125,105,7.6193132400512695
1768562775.709881,106,7.269304275512695
1768562775.8396273,107,7.790401458740234
1768562775.970666,108,7.6058244705200195
1768562776.100819,109,7.3342695236206055
1768562776.2306597,110,7.447402477264404
1768562777.9631913,111,7.742125511169434
1768562778.0926166,112,7.496827602386475
1768562778.2222369,113,7.284907341003418
1768562778.3519738,114,7.594385147094727
1768562778.4816236,115,7.6512370109558105
1768562778.6116445,116,7.2664995193481445
1768562778.7415395,117,7.4263916015625
1768562778.8711627,118,7.498205661773682
1768562779.0006437,119,7.466047286987305
1768562779.1319623,120,7.3657331466674805
1768562780.862258,121,7.293381690979004
1768562780.9921112,122,7.362452983856201
1768562781.121948,123,7.521347999572754
1768562781.252791,124,7.307881832122803
1768562781.382474,125,7.57070255279541
1768562781.5120287,126,7.201175689697266
1768562781.6418796,127,7.418567657470703
1768562781.77219,128,7.281431198120117
1768562781.901917,129,7.494167327880859
1768562782.0317848,130,7.17768669128418
1768562783.7528937,131,7.532650947570801
1768562783.8823898,132,7.352792739868164
1768562784.01338,133,7.398033618927002
1768562784.1443703,134,7.651477336883545
1768562784.2739697,135,7.394534111022949
1768562784.4048815,136,7.5210676193237305
1768562784.536143,137,7.184903144836426
1768562784.666032,138,7.065731048583984
1768562784.7962954,139,7.466510772705078
1768562784.9260895,140,7.3632893562316895
1768562786.6519608,141,7.2935662269592285
1768562786.781833,142,7.1549072265625
1768562786.9121993,143,7.187073707580566
1768562787.0417328,144,7.033685207366943
1768562787.1713474,145,7.4562907218933105
1768562787.3008761,146,7.08584451675415
1768562787.4303432,147,7.171494483947754
1768562787.5598385,148,7.425319671630859
1768562787.6899505,149,7.088695526123047
1768562787.822076,150,7.192859649658203
1768562789.546985,151,7.132233619689941
1768562789.6766295,152,7.271270751953125
1768562789.805939,153,7.43950080871582
1768562789.9354572,154,7.1369500160217285
1768562790.0656285,155,7.4617204666137695
1768562790.1951122,156,7.286215305328369
1768562790.3247056,157,7.030915260314941
1768562790.4540741,158,7.213454246520996
1768562790.583541,159,7.2805867195129395
1768562790.7131462,160,7.254342079162598
1768562792.4370844,161,7.2003397941589355
1768562792.5687628,162,7.338705539703369
1768562792.699503,163,7.088735580444336
1768562792.8290784,164,7.114681243896484
1768562792.9585683,165,7.102153778076172
1768562793.088075,166,7.18465518951416
1768562793.2199447,167,7.387589454650879
1768562793.349712,168,7.288418769836426
1768562793.4791713,169,7.113618850708008
1768562793.6098032,170,7.124675273895264
1768562795.3330889,171,7.205648422241211
1768562795.4626272,172,7.338903903961182
1768562795.5922177,173,7.083751678466797
1768562795.721728,174,7.057586193084717
1768562795.851518,175,7.116504669189453
1768562795.98115,176,7.251513481140137
1768562796.1106374,177,7.051495552062988
1768562796.2402503,178,7.484591007232666
1768562796.369643,179,7.43071985244751
1768562796.4993174,180,7.3071746826171875
1768562798.2219195,181,7.111642837524414
1768562798.35145,182,7.032581329345703
1768562798.481219,183,7.367671966552734
1768562798.6123967,184,7.34044885635376
1768562798.7422087,185,7.286280632019043
1768562798.871985,186,7.310138702392578
1768562799.0017936,187,7.255545616149902
1768562799.1314955,188,7.341148853302002
1768562799.2612262,189,6.954471588134766
1768562799.3906848,190,7.149645805358887
1768562801.116908,191,7.219151973724365
